img_no 	 max_int_value 	 angle 	 angle axis 
320 	 117.946823 	 2.004336 	 Y
321 	 119.924660 	 2.010619 	 Y
322 	 121.907982 	 2.016902 	 Y
323 	 124.408714 	 2.023186 	 Y
324 	 126.955475 	 2.029469 	 Y
325 	 128.935181 	 2.035752 	 Y
326 	 130.548523 	 2.042035 	 Y
327 	 131.349152 	 2.048318 	 Y
328 	 131.793503 	 2.054602 	 Y
329 	 132.538589 	 2.060885 	 Y
330 	 133.115372 	 2.067168 	 Y
331 	 133.211853 	 2.073451 	 Y
332 	 133.412628 	 2.079734 	 Y
333 	 133.073883 	 2.086018 	 Y
334 	 132.280594 	 2.092301 	 Y
335 	 131.123001 	 2.098584 	 Y
336 	 130.084717 	 2.104867 	 Y
337 	 128.364151 	 2.111150 	 Y
338 	 126.648399 	 2.117433 	 Y
339 	 127.446503 	 2.123717 	 Y
340 	 128.172897 	 2.130000 	 Y
341 	 128.510086 	 2.136283 	 Y
342 	 128.562286 	 2.142566 	 Y
343 	 128.118332 	 2.148849 	 Y
344 	 127.306976 	 2.155133 	 Y
345 	 126.635368 	 2.161416 	 Y
346 	 126.189514 	 2.167699 	 Y
347 	 127.590187 	 2.173982 	 Y
348 	 129.714737 	 2.180265 	 Y
349 	 130.795837 	 2.186548 	 Y
350 	 130.912109 	 2.192832 	 Y
351 	 131.507141 	 2.199115 	 Y
352 	 131.717239 	 2.205398 	 Y
353 	 132.641891 	 2.211681 	 Y
354 	 135.941849 	 2.217964 	 Y
355 	 138.427979 	 2.224248 	 Y
356 	 139.352844 	 2.230531 	 Y
357 	 138.127686 	 2.236814 	 Y
358 	 135.761963 	 2.243097 	 Y
359 	 136.622971 	 2.249380 	 Y
360 	 137.781326 	 2.255664 	 Y
361 	 138.551773 	 2.261947 	 Y
362 	 139.219894 	 2.268230 	 Y
363 	 139.605469 	 2.274513 	 Y
364 	 139.510620 	 2.280796 	 Y
365 	 139.254715 	 2.287079 	 Y
366 	 138.855392 	 2.293363 	 Y
367 	 138.531555 	 2.299646 	 Y
368 	 137.478500 	 2.305929 	 Y
369 	 136.799332 	 2.312212 	 Y
370 	 135.414520 	 2.318495 	 Y
371 	 133.832581 	 2.324779 	 Y
372 	 131.292862 	 2.331062 	 Y
373 	 128.197769 	 2.337345 	 Y
374 	 126.997772 	 2.343628 	 Y
375 	 126.489792 	 2.349911 	 Y
376 	 125.768112 	 2.356194 	 Y
377 	 124.427834 	 2.362478 	 Y
378 	 122.922356 	 2.368761 	 Y
379 	 121.409485 	 2.375044 	 Y
380 	 120.105202 	 2.381327 	 Y
381 	 119.381805 	 2.387610 	 Y
382 	 117.812164 	 2.393894 	 Y
383 	 117.099594 	 2.400177 	 Y
384 	 117.111313 	 2.406460 	 Y
385 	 118.361633 	 2.412743 	 Y
386 	 119.342415 	 2.419026 	 Y
387 	 119.708252 	 2.425310 	 Y
388 	 120.179283 	 2.431593 	 Y
389 	 120.545937 	 2.437876 	 Y
390 	 120.240913 	 2.444159 	 Y
391 	 119.605194 	 2.450442 	 Y
392 	 118.864403 	 2.456725 	 Y
393 	 117.896912 	 2.463009 	 Y
394 	 117.024094 	 2.469292 	 Y
395 	 116.195412 	 2.475575 	 Y
396 	 115.174553 	 2.481858 	 Y
397 	 114.403488 	 2.488141 	 Y
398 	 115.195938 	 2.494425 	 Y
399 	 115.921471 	 2.500708 	 Y
400 	 116.839256 	 2.506991 	 Y
401 	 117.346344 	 2.513274 	 Y
402 	 117.800255 	 2.519557 	 Y
403 	 118.271378 	 2.525840 	 Y
404 	 118.642982 	 2.532124 	 Y
405 	 118.917969 	 2.538407 	 Y
406 	 118.952957 	 2.544690 	 Y
407 	 118.801971 	 2.550973 	 Y
408 	 118.705582 	 2.557256 	 Y
409 	 118.459709 	 2.563540 	 Y
410 	 118.034737 	 2.569823 	 Y
411 	 117.695480 	 2.576106 	 Y
412 	 117.534256 	 2.582389 	 Y
413 	 117.073685 	 2.588672 	 Y
414 	 117.335358 	 2.594956 	 Y
415 	 117.507225 	 2.601239 	 Y
416 	 117.528091 	 2.607522 	 Y
417 	 117.918808 	 2.613805 	 Y
418 	 118.531029 	 2.620088 	 Y
419 	 118.832672 	 2.626371 	 Y
420 	 119.093300 	 2.632655 	 Y
421 	 118.946854 	 2.638938 	 Y
422 	 118.895683 	 2.645221 	 Y
423 	 118.849525 	 2.651504 	 Y
424 	 121.870377 	 2.657787 	 Y
425 	 124.416855 	 2.664071 	 Y
426 	 126.538391 	 2.670354 	 Y
427 	 128.003510 	 2.676637 	 Y
428 	 129.283829 	 2.682920 	 Y
429 	 130.072083 	 2.689203 	 Y
430 	 130.434250 	 2.695486 	 Y
431 	 130.323151 	 2.701770 	 Y
432 	 129.863937 	 2.708053 	 Y
433 	 128.950119 	 2.714336 	 Y
434 	 127.633675 	 2.720619 	 Y
435 	 126.015121 	 2.726902 	 Y
436 	 124.044739 	 2.733186 	 Y
437 	 121.870071 	 2.739469 	 Y
438 	 119.433105 	 2.745752 	 Y
439 	 116.845085 	 2.752035 	 Y
440 	 114.151276 	 2.758318 	 Y
441 	 114.359612 	 2.764602 	 Y
442 	 115.238464 	 2.770885 	 Y
443 	 116.021957 	 2.777168 	 Y
444 	 116.672775 	 2.783451 	 Y
445 	 117.133331 	 2.789734 	 Y
446 	 117.647995 	 2.796017 	 Y
447 	 119.466011 	 2.802301 	 Y
448 	 121.360878 	 2.808584 	 Y
449 	 123.058807 	 2.814867 	 Y
450 	 124.802841 	 2.821150 	 Y
451 	 126.687950 	 2.827433 	 Y
452 	 128.717880 	 2.833717 	 Y
453 	 130.671036 	 2.840000 	 Y
454 	 132.470474 	 2.846283 	 Y
455 	 134.132095 	 2.852566 	 Y
456 	 135.411880 	 2.858849 	 Y
457 	 136.812973 	 2.865133 	 Y
458 	 137.958344 	 2.871416 	 Y
459 	 138.900070 	 2.877699 	 Y
460 	 139.621536 	 2.883982 	 Y
461 	 140.045654 	 2.890265 	 Y
462 	 140.180374 	 2.896548 	 Y
463 	 139.848785 	 2.902832 	 Y
464 	 139.076584 	 2.909115 	 Y
465 	 137.794586 	 2.915398 	 Y
466 	 135.685730 	 2.921681 	 Y
467 	 133.880066 	 2.927964 	 Y
468 	 132.465500 	 2.934248 	 Y
469 	 131.502411 	 2.940531 	 Y
470 	 130.035110 	 2.946814 	 Y
471 	 128.456253 	 2.953097 	 Y
472 	 126.702202 	 2.959380 	 Y
473 	 124.752052 	 2.965663 	 Y
474 	 122.270866 	 2.971947 	 Y
475 	 122.823837 	 2.978230 	 Y
476 	 123.055328 	 2.984513 	 Y
477 	 123.373703 	 2.990796 	 Y
478 	 123.298141 	 2.997079 	 Y
479 	 124.553253 	 3.003363 	 Y
480 	 126.750252 	 3.009646 	 Y
481 	 128.752243 	 3.015929 	 Y
482 	 130.490555 	 3.022212 	 Y
483 	 131.948486 	 3.028495 	 Y
484 	 133.232361 	 3.034779 	 Y
485 	 134.094177 	 3.041062 	 Y
486 	 134.458466 	 3.047345 	 Y
487 	 134.234589 	 3.053628 	 Y
488 	 133.185059 	 3.059911 	 Y
489 	 131.585129 	 3.066194 	 Y
490 	 129.854095 	 3.072478 	 Y
491 	 129.641907 	 3.078761 	 Y
492 	 130.169388 	 3.085044 	 Y
493 	 130.794464 	 3.091327 	 Y
494 	 131.253967 	 3.097610 	 Y
495 	 131.282928 	 3.103894 	 Y
496 	 130.720932 	 3.110177 	 Y
497 	 130.046524 	 3.116460 	 Y
498 	 129.417725 	 3.122743 	 Y
499 	 128.924576 	 3.129026 	 Y
500 	 127.918655 	 3.135309 	 Y
501 	 127.764328 	 3.141593 	 Y
502 	 126.588417 	 3.147876 	 Y
503 	 126.572319 	 3.154159 	 Y
504 	 125.387383 	 3.160442 	 Y
505 	 125.130592 	 3.166725 	 Y
506 	 125.573456 	 3.173009 	 Y
507 	 126.167450 	 3.179292 	 Y
508 	 126.635231 	 3.185575 	 Y
509 	 127.492966 	 3.191858 	 Y
510 	 129.043030 	 3.198141 	 Y
511 	 130.509872 	 3.204425 	 Y
512 	 131.802963 	 3.210708 	 Y
513 	 132.707993 	 3.216991 	 Y
514 	 133.232376 	 3.223274 	 Y
515 	 133.262939 	 3.229557 	 Y
516 	 133.927002 	 3.235840 	 Y
517 	 134.801758 	 3.242124 	 Y
518 	 135.385254 	 3.248407 	 Y
519 	 135.510513 	 3.254690 	 Y
520 	 135.108780 	 3.260973 	 Y
521 	 134.266861 	 3.267256 	 Y
522 	 133.291092 	 3.273540 	 Y
523 	 132.010757 	 3.279823 	 Y
524 	 130.766113 	 3.286106 	 Y
525 	 129.812637 	 3.292389 	 Y
526 	 129.031204 	 3.298672 	 Y
527 	 130.984970 	 3.304955 	 Y
528 	 132.592148 	 3.311239 	 Y
529 	 134.182526 	 3.317522 	 Y
530 	 135.681198 	 3.323805 	 Y
531 	 137.168518 	 3.330088 	 Y
